listing_id,make,power,engine_cap,mileage,price
1006025,bmw,135,1997,,82300
994672,land rover,202,2993,25843,427900
921142,honda,95.6,1496,2000,109800
1008328,bmw,185,1998,57386,166600
1010661,,96,1498,76000,59400
1020771,honda,81,1496,180600,48400
987535,seat,162,1984,13853,147400
1022001,nissan,85,1197,73000,68000
979492,subaru,125,1600,55000,83500
1016608,,,1595,,55900
1020216,honda,73,1317,22703,78000
1015098,audi,110,1395,7000,174700
964894,bmw,185,1998,77454,154000
876669,mercedes-benz,,1497,625,209000
1021625,audi,331,4163,88755,174700
1017036,toyota,,2754,38800,77900
1010072,mercedes-benz,200,3498,14300,136200
1000534,audi,294,2480,23123,275000
998574,,95.3,1591,41022,53700
1019343,,127,1498,4850,119700
1022692,mitsubishi,57,1193,,46100
1016178,honda,73,1317,14200,74200
974808,mitsubishi,,2998,,59200
1003759,,96,1496,,74600
1018472,mercedes-benz,115,1595,60013,126300
1004370,,92,1597,72000,78600
1008675,mercedes-benz,155,1991,39000,189000
1004114,honda,101,1496,79000,102100
1025196,jaguar,132,1999,83000,84500
910462,rolls-royce,338,6749,15000,481800
1019460,toyota,125,2362,28126,137300
946353,toyota,64,1298,132201,42700
1019043,mini,72,1598,125000,64700
1023460,honda,96,1496,34814,85300
1019566,toyota,100,1797,35000,123000
1015325,hyundai,89.7,1591,,16800
1012790,mercedes-benz,150,1796,60000,106600
1009923,mercedes-benz,95,1497,13000,161700
1023015,byd,,,150,109800
1002465,bmw,240,2998,95000,203300
953892,honda,88,1497,77325,65900
1022147,toyota,97,1794,165000,13000
1022051,mercedes-benz,245,2996,155000,179100
1024236,honda,96,1496,23154,87800
1022826,,93.8,1591,,58100
1001715,,60,1339,130000,16300
1013378,mitsubishi,110,1998,72000,103300
996302,kia,88.3,998,31929,80700
1024526,audi,155,1984,24800,113900
993389,renault,97,1197,50000,83400
958560,land rover,375,4999,90000,113300
1022261,audi,250,2995,9405,354000
960613,bmw,100,1598,105000,60300
989657,bmw,100,1995,144000,66600
986672,mercedes-benz,170,2997,98000,81300
1007016,mercedes-benz,200,2996,91000,223100
977930,bmw,135,1997,110000,77600
1009803,toyota,80,1496,19000,88900
999799,honda,96,1496,108000,60500
1010728,honda,73,1318,29000,76400
1018508,mercedes-benz,135,1991,12790,201100
1014006,mercedes-benz,155,1991,46000,193500
1024716,hyundai,89.7,1591,,48200
1003551,proton,93,1597,106000,29500
1009452,honda,73,1339,145000,61500
1006306,porsche,272,2981,30950,435400
1020823,nissan,,2488,160000,32800
985088,honda,103,1799,98000,43800
987174,subaru,84,1600,94160,66900
1022930,bmw,100,1598,94000,42400
988825,nissan,85,1598,36868,78000
1024285,volkswagen,66,1197,50000,61400
1021202,audi,125,1798,77000,61400
1005563,,96,1498,59000,75900
995581,bmw,100,1499,70000,131800
987617,suzuki,74,1490,59415,35000
976215,mercedes-benz,100,1332,33480,127400
1023334,,96,1498,156435,51600
1015539,mazda,88,1496,17167,58100
953269,mercedes-benz,115,1796,89000,96600
1024405,toyota,96,1598,40889,80900
972243,,,2998,,82300
1022984,mercedes-benz,100,1332,25339,139500
1005626,mercedes-benz,90,1595,115000,86800
1021357,mazda,88,1496,78000,82300
1022601,honda,73,1339,,51500
1010055,,73,1339,102145,64900
977093,mercedes-benz,,2746,,85800
1020544,,105,1797,61000,55900
1006498,volkswagen,118,1798,79000,26200
1024376,honda,103,1799,,16300
1014965,toyota,106,1797,135000,61400
995762,mercedes-benz,90,1595,57000,94400
1022368,bmw,225,2979,,152700
974592,land rover,,2198,52200,128500
1009941,toyota,100,1797,88,162600
1021002,mercedes-benz,135,1796,90000,125200
1021010,mercedes-benz,115,1595,80000,52600
998132,hyundai,95.6,1591,103000,43800
1042353,toyota,106,1797,135000,61400
